Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
34050965,How to Think: A Survival Guide for a World at Odds,Alan Jacobs,"Jacobs, Alan",,"=""0451499603""","=""9780451499608""",4,3.96,Crown Currency,Hardcover,160,2017,2017,2021/05/18,2017/09/06,,,read,,,,1,0
136038,The Russian Revolution,Richard Pipes,"Pipes, Richard",Bernhard H. Wagner,"=""0679736603""","=""9780679736608""",3,4.06,Vintage,Paperback,976,1991,1990,2021/05/04,2021/03/08,,,read,,,,1,0
119747,"The Last Best League: One Summer, One Season, One Dream",Jim  Collins,"Collins, Jim",James Maddison Collins,"=""0306814188""","=""9780306814181""",0,4.12,Da Capo Press,Paperback,273,2005,2004,,2021/04/29,to-read,to-read (#100),to-read,,,,0,0
54110460,Libertie,Kaitlyn Greenidge,"Greenidge, Kaitlyn",,"=""1616207019""","=""9781616207014""",3,3.49,Algonquin Books,Hardcover,336,2021,2021,2021/04/26,2021/04/01,,,read,,,,1,0
51791252,The Vanishing Half,Brit Bennett,"Bennett, Brit",,"=""""","=""""",4,4.14,Riverhead Books,Hardcover,343,2020,2020,2020/06/20,2020/06/16,,,read,,,,1,0
30235607,Russia in Revolution 1914-1929,S.A.   Smith,"Smith, S.A.",,"=""0198734824""","=""9780198734826""",0,3.70,Oxford University Press,Hardcover,448,2017,2017,,2021/04/25,to-read,to-read (#99),to-read,,,,0,0
1102465,The Oligarchs: Wealth and Power in the New Russia,David E. Hoffman,"Hoffman, David E.",,"=""1586482025""","=""9781586482022""",0,4.16,PublicAffairs,Paperback,575,2003,2002,,2021/04/25,to-read,to-read (#98),to-read,,,,0,0
13356707,The Two Towers (The Lord of the Rings #2),J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""0547928203""","=""9780547928203""",5,4.49,Mariner Books,Paperback,323,2012,1954,2015/08/30,2015/08/23,,,read,,,,2,0
51182635,Our Team: The Epic Story of Four Men and the World Series That Changed Baseball,Luke Epplin,"Epplin, Luke",,"=""1250313791""","=""9781250313799""",0,4.48,Flatiron Books,Hardcover,389,2021,2021,,2021/04/17,to-read,to-read (#97),to-read,,,,0,0
56577348,A Poetics of Orthodoxy: Christian Truth as Aesthetic Foundation,Benjamin P. Myers,"Myers, Benjamin P.",Benjamin    Myers,"=""1532695462""","=""9781532695469""",4,4.60,Wipf and Stock Publishers,Paperback,140,2020,2020,2021/04/15,2021/02/12,,,read,,,,1,0
30555488,The Underground Railroad,Colson Whitehead,"Whitehead, Colson",,"=""0385542364""","=""9780385542364""",4,4.06,Doubleday,Hardcover,320,2016,2016,2021/03/27,2020/06/21,,,read,,,,1,0
334176,"The Sparrow (The Sparrow, #1)",Mary Doria Russell,"Russell, Mary Doria",,"=""0449912558""","=""9780449912553""",4,4.14,Ballantine Books,Paperback,419,1997,1996,2021/03/21,2015/12/25,,,read,,,,1,0
283470,God's Greater Glory: The Exalted God Of Scripture And The Christian Faith,Bruce A. Ware,"Ware, Bruce A.",,"=""1581344430""","=""9781581344431""",3,4.19,Crossway,Paperback,256,2004,2004,2021/03/19,2021/01/30,,,read,,,,1,0
605573,Midnight's Children,Salman Rushdie,"Rushdie, Salman",,"=""""","=""""",4,3.98,Random House,Paperback,533,2006,1981,2021/02/21,2015/07/20,,,read,"Nearly 5 stars...maybe on a re-read. It took me about 100 pages to understand what was going on. Overall a pretty dense story, but also pretty funny at times. The last 200ish pages are phenomenal.",,,1,0
